"가계수지항목별",2019.1/4,2019.1/4,2019.1/4,2019.2/4,2019.2/4,2019.2/4,2019.3/4,2019.3/4,2019.3/4,2019.4/4,2019.4/4,2019.4/4,2020.1/4,2020.1/4,2020.1/4,2020.2/4,2020.2/4,2020.2/4,2020.3/4,2020.3/4,2020.3/4,2020.4/4,2020.4/4,2020.4/4,2021.1/4,2021.1/4,2021.1/4,2021.2/4,2021.2/4,2021.2/4,2021.3/4,2021.3/4,2021.3/4,2021.4/4,2021.4/4,2021.4/4,2022.1/4,2022.1/4,2022.1/4,2022.2/4,2022.2/4,2022.2/4,2022.3/4,2022.3/4,2022.3/4,2022.4/4,2022.4/4,2022.4/4,2023.1/4,2023.1/4,2023.1/4,2023.2/4,2023.2/4,2023.2/4,2023.3/4,2023.3/4,2023.3/4,2023.4/4,2023.4/4,2023.4/4,2024.1/4,2024.1/4,2024.1/4,2024.2/4,2024.2/4,2024.2/4,2024.3/4,2024.3/4,2024.3/4,2024.4/4,2024.4/4,2024.4/4,2025.1/4,2025.1/4,2025.1/4,2025.2/4,2025.2/4,2025.2/4,2025.3/4,2025.3/4,2025.3/4,2025.4/4,2025.4/4,2025.4/4,2026.1/4,2026.1/4,2026.1/4
"가계수지항목별",전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구
"　비경상소득",84280,77079,93936,57563,45249,75822,54576,59284,47837,70031,74504,63485,112874,107507,120083,71164,69504,73392,69755,69289,70411,81481,72034,94984,83355,85181,80953,79054,90496,62230,62796,65468,58864,103100,118676,80660,88379,78975,101688,91784,78941,110836,80660,62859,108064,95446,83191,115098,112939,117314,106228,80286,82908,76261,62113,58138,68245,99122,102817,93170,81127,97737,55694,88041,85824,91403,101819,114019,83214,111130,112253,109320,98283,105903,86670,100482,102115,97996,106514,99197,117870,107245,108443,105417,103960,109777,95631
"가계지출",3458752,4027578,2695984,3191378,3653718,2505810,3386671,3869950,2694900,3287733,3738516,2627981,3264129,3765720,2590367,3181429,3620515,2591830,3284260,3718166,2674169,3227499,3660373,2608769,3291618,3817542,2600009,3308279,3794599,2593172,3499828,3989555,2779262,3405845,3854925,2758887,3495914,4039838,2726024,3507630,3949409,2852253,3720713,4119250,3107172,3624996,4056758,2932656,3885149,4505814,2933009,3652479,4142022,2901130,3870644,4382616,3080732,3813333,4291408,3043284,3984059,4571487,3084573,3810706,4330659,3022349,3975158,4501678,3172199,3910345,4338591,3220029,4072407,4655781,3183325,3876175,4478351,2958847,4001948,4488791,3246259,4081451,4552270,3362700,4241467,4783208,3465660
"소비지출",2544919,2876669,2100058,2357094,2615437,1974017,2467777,2750911,2062496,2464541,2738476,2063618,2379576,2647195,2020097,2385004,2630463,2055405,2426415,2658150,2100584,2407610,2646977,2065469,2418703,2697192,2052480,2475079,2744442,2078995,2544163,2811703,2150514,2546841,2777341,2214775,2531308,2811123,2135249,2619402,2842954,2287763,2702345,2907617,2386331,2696830,2909351,2356047,2822336,3164066,2298102,2690633,2945902,2298848,2808363,3085604,2380613,2833347,3083308,2430727,2908117,3219449,2431397,2813211,3079433,2409561,2907448,3195010,2468908,2902776,3103124,2579823,2949660,3244676,2500045,2835858,3145745,2363790,2944058,3181491,2575510,3008276,3224342,2678430,3104827,3357877,2742445
"01.식료품 · 비주류음료",350417,367936,326924,329535,346186,304845,369789,375380,361787,364470,366339,361735,384977,408709,353099,387409,401381,368647,433281,441947,421096,421663,422110,421025,411559,422641,396984,397712,412017,376678,461470,470165,448676,432765,427395,440501,417064,425806,404690,393887,396572,389905,437474,440805,432346,425829,421904,432124,407795,413352,399272,398635,403181,391658,460970,459322,463513,435544,430467,443722,432796,436325,427393,415225,417168,412279,462400,462741,461881,450523,438878,469295,444014,442098,446934,422727,425946,417824,457028,453819,462010,473481,457271,498226,452426,445263,462684
"02.주류 · 담배",36489,40141,31592,35550,38418,31297,37370,39618,34152,33809,35844,30831,34436,37191,30735,38889,42192,34455,40230,44093,34798,36448,40381,30826,36499,41362,30104,39512,43494,33657,42376,45398,37930,37811,41271,32825,36279,39535,31669,38346,42032,32877,42052,46244,35598,39413,42016,35238,36908,40496,31404,38082,41676,32567,41369,45993,34234,38321,42137,32175,36884,39445,32963,37141,39344,33802,40155,42774,36160,37027,39264,33421,35307,37895,31362,36933,39779,32597,40401,43569,35483,37444,40695,32481,34309,37479,29769
"03.의류 · 신발",134719,160770,99787,144409,169193,107658,111399,128978,86236,163304,186919,128743,97489,115958,72682,134561,159074,101646,96306,112780,73142,143790,168008,109173,106509,126516,80199,128920,148467,100177,105894,122581,81340,161273,184455,127876,112625,132673,84247,144980,162617,118816,122077,141979,91437,163875,188970,123634,125464,146034,93910,142412,162405,111727,116309,132876,90748,170784,191009,138208,127137,142629,103416,150972,170735,121007,114397,131158,88837,170193,187254,142690,121156,136379,97956,144860,162934,117327,118316,130439,99499,177809,198467,146272,132771,152249,104878
"04.주거 · 수도 · 광열",321450,330405,309441,265155,273763,252392,250660,251967,248790,273103,285924,254340,318010,324103,309827,283702,292638,271702,263000,278142,241708,279471,289037,265799,339681,354324,320424,305945,321031,283761,269469,279364,254909,279023,284941,270497,347599,359985,330069,295947,299020,291388,268742,270369,266237,295824,298757,291120,387565,396901,373243,317795,329434,299933,289934,304432,267566,324074,326909,319509,390313,400710,374392,340259,365027,302706,326516,348259,293356,348712,350630,345622,412925,420620,401198,346534,366912,315492,334401,343873,319697,347455,352598,339603,425807,440293,405063
"05.가정용품 · 가사서비스",117354,134948,93763,118419,124428,109510,109115,123236,88901,115007,128717,94940,103374,119192,82128,142490,156519,123651,130392,138703,118706,127072,139467,109355,118131,137271,92962,132604,156798,97028,139601,152465,120674,128198,139678,111660,105785,118273,88110,120063,129488,106080,126945,125715,128838,113576,120487,102494,110890,126988,86195,116562,123615,105738,119030,129880,102290,126689,133307,116028,117689,135620,90231,126836,140751,105738,127299,144839,100550,121935,134658,101426,118647,134829,93986,114329,125653,97079,124826,134163,110334,120922,131517,104748,127269,147334,98535
"06.보건",188378,182865,195771,177677,172471,185397,174679,163654,190461,187652,185868,190263,198535,199605,197097,188827,182110,197848,190419,181729,202637,202677,200563,205699,188070,185747,191125,208050,215578,196981,192445,193685,190620,205096,194040,221024,202232,197899,208366,211074,200695,226472,197080,189675,208481,205288,198208,216640,218259,207661,234518,198294,189722,211449,201852,197171,209076,226430,221974,233608,225671,220039,234296,211108,206139,218642,221252,229901,208062,241299,235190,251146,230737,224852,239706,220225,215762,227024,228505,219758,242084,233229,226692,243209,254832,247316,265596
"07.교통 · 운송",285515,331560,223770,266057,311482,198700,307999,377097,209091,323562,380603,240077,279118,304885,244507,297493,338660,242214,271547,300749,230487,306135,356197,234579,271072,315811,212238,296221,330903,245222,287344,336817,214553,296418,339647,234141,278570,317337,223696,331123,392085,240687,311917,334497,277154,344906,383271,283387,338774,401711,242223,337527,393452,251694,326567,380889,242754,356610,423454,248942,335603,406228,227459,360640,404867,293583,312414,340270,269933,322544,354107,271666,323315,390232,221331,339925,425167,210072,326246,363239,268825,356104,395297,296273,362325,399260,309432
"08.정보통신",159696,179820,132711,153967,166131,135929,159865,178399,133335,160767,175388,139369,160312,178633,135703,161745,176774,141564,167593,183559,145144,162598,185331,130105,170421,191207,143087,162090,179287,136803,171658,190857,143410,169464,186239,145298,168284,189174,138714,162018,174239,143889,174248,188326,152576,171337,190258,140997,176171,199858,139834,160126,174246,138454,169856,184826,146758,167547,185289,138969,171008,191515,139607,163180,176348,143213,162594,179497,136816,161818,176101,138795,171051,190664,141160,160775,178363,133983,167994,182490,145494,167694,184007,142789,176189,195858,148021
"09.오락 · 문화",152551,178956,117144,146810,164773,120175,149451,169877,120213,130713,155780,94025,109459,126325,86804,96504,113955,73070,92687,107753,71504,86610,101941,64695,86767,102814,65663,103615,118484,81753,97435,112015,75982,102511,120875,76055,96993,113810,73190,137241,157126,107742,137881,154388,112468,135916,140896,127930,148001,178438,101308,162521,180357,135148,171081,194757,134551,155124,170341,130613,170932,195008,134067,171160,191760,139926,188221,215967,145907,179275,198453,148361,170934,201384,124526,170535,192047,137765,176795,200903,139375,180729,199705,151761,191385,209538,165389
"10.교육",258482,325286,168901,165121,211361,96555,243397,301379,160401,153169,192019,96309,187560,241597,114975,114338,148177,68900,206918,256021,137878,127438,160450,80253,202477,246068,145153,149886,186251,96414,221198,271904,146590,153735,192198,98325,229823,286537,149548,166451,200137,116478,239347,288451,163751,175683,219636,105202,238518,311977,125828,170588,212930,105602,256089,315141,164979,176553,220140,106346,243980,295312,165379,173608,210213,118108,252879,301778,178306,180899,221828,114923,243823,301526,155881,172576,211520,113252,237037,289991,154841,176627,216710,115436,236790,282154,171825
"11.음식 · 숙박",335250,410359,234534,343207,406470,249399,354046,419879,259812,349821,414047,255823,299615,364413,212575,332287,394988,248092,335402,396079,250088,309449,366783,227498,292485,357212,207366,343397,404758,253169,352921,412884,264692,361915,426300,269161,333221,399526,239371,401937,463375,310793,433731,498223,334446,414746,476975,314960,403621,480276,286027,426010,500941,311005,442666,516617,328569,432669,500848,322851,427016,504068,309033,441966,518470,325969,467533,544395,350316,454831,521487,347386,435825,507364,326797,456591,526693,349802,486501,561257,370463,477548,546290,372607,458235,527633,358853
"12.기타상품 · 서비스",204617,233624,165720,211186,230761,182160,200007,221448,169317,209164,231028,177165,206690,226585,179965,206759,223994,183616,198641,216594,173397,204260,216710,186464,195033,216217,167175,207128,227376,177353,202353,223569,171137,218632,240302,187412,202834,230568,163578,216333,225567,202636,210852,228945,182999,210438,227972,182321,230369,260373,184340,222081,233944,203873,212640,223702,195574,223003,237434,199759,229088,252551,193161,221115,238610,194589,231789,253431,198784,233719,245274,215093,241926,256833,219208,249846,274970,211574,246008,257991,227406,259234,275093,235024,252488,273498,222400
"비소비지출",913833,1150909,595926,834284,1038281,531794,918894,1119039,632404,823192,1000039,564363,884553,1118525,570270,796425,990053,536425,857846,1060016,573585,819889,1013396,543300,872915,1120350,547529,833200,1050157,514177,955665,1177852,628748,859005,1077584,544112,964606,1228715,590776,888228,1106455,564490,1018368,1211632,720841,928166,1147407,576609,1062813,1341749,634907,961845,1196120,602282,1062281,1297012,700119,979987,1208100,612558,1075942,1352038,653176,997495,1251225,612788,1067709,1306668,703291,1007569,1235467,640206,1122747,1411105,683280,1040317,1332606,595056,1057890,1307300,670749,1073175,1327929,684270,1136639,1425332,723215
"처분가능소득",3358077,4068849,2404967,3334581,3852559,2566512,3383085,3890712,2656464,3461781,3834191,2916733,3481518,4157967,2572876,3518960,4042757,2815612,3519456,4022225,2812541,3541834,3914748,3008808,3510898,4169688,2644565,3453761,3961851,2706643,3773240,4283080,3023080,3783306,4191279,3195568,3860431,4440755,3039020,3942833,4173246,3601017,3850299,4298408,3160441,3905409,4316724,3245854,3991041,4713644,2882521,3831134,4287518,3130676,3970459,4514226,3131490,4043732,4439967,3405506,4046185,4726305,3004764,3963788,4450848,3225304,4187743,4740255,3345146,4207413,4569145,3624316,4228271,4902070,3201377,4024299,4475941,3336288,4380903,4920955,3542622,4348742,4782408,3686709,4344225,5029316,3363133
"흑자액",813159,1192180,304909,977487,1237122,592495,915308,1139800,593968,997240,1095714,853115,1101941,1510772,552779,1133956,1412294,760207,1093041,1364075,711957,1134224,1267770,943339,1092195,1472496,592085,978682,1217409,627648,1229077,1471377,872566,1236466,1413939,980793,1329123,1629632,903772,1323431,1330292,1313253,1147954,1390791,774109,1208578,1407373,889807,1168704,1549579,584419,1140500,1341616,831829,1162096,1428622,750878,1210386,1356659,974779,1138068,1506856,573367,1150577,1371414,815742,1280295,1545245,876239,1304637,1466021,1044492,1278611,1657394,701332,1188441,1330196,972497,1436844,1739464,967112,1340467,1558066,1008279,1239398,1671439,620688
"흑자율",24.2,29.3,12.7,29.3,32.1,23.1,27.1,29.3,22.4,28.8,28.6,29.2,31.7,36.3,21.5,32.2,34.9,27.0,31.1,33.9,25.3,32.0,32.4,31.4,31.1,35.3,22.4,28.3,30.7,23.2,32.6,34.4,28.9,32.7,33.7,30.7,34.4,36.7,29.7,33.6,31.9,36.5,29.8,32.4,24.5,30.9,32.6,27.4,29.3,32.9,20.3,29.8,31.3,26.6,29.3,31.6,24.0,29.9,30.6,28.6,28.1,31.9,19.1,29.0,30.8,25.3,30.6,32.6,26.2,31.0,32.1,28.8,30.2,33.8,21.9,29.5,29.7,29.1,32.8,35.3,27.3,30.8,32.6,27.3,28.5,33.2,18.5
"평균소비성향",75.8,70.7,87.3,70.7,67.9,76.9,72.9,70.7,77.6,71.2,71.4,70.8,68.3,63.7,78.5,67.8,65.1,73.0,68.9,66.1,74.7,68.0,67.6,68.6,68.9,64.7,77.6,71.7,69.3,76.8,67.4,65.6,71.1,67.3,66.3,69.3,65.6,63.3,70.3,66.4,68.1,63.5,70.2,67.6,75.5,69.1,67.4,72.6,70.7,67.1,79.7,70.2,68.7,73.4,70.7,68.4,76.0,70.1,69.4,71.4,71.9,68.1,80.9,71.0,69.2,74.7,69.4,67.4,73.8,69.0,67.9,71.2,69.8,66.2,78.1,70.5,70.3,70.9,67.2,64.7,72.7,69.2,67.4,72.7,71.5,66.8,81.5
